Player,POS,GP,Total EPA,EPA per Game,EPA per Play ( all plays contributed ),EPA per Play ( all offense ),Total Passing EPA,EPA per Completion,EPA per Attempt,Rushing EPA,EPA per Carry,Receiving EPA,EPA per Reception,EPA per Target
Chase Brown,RB,10,-2.31,-0.2309,-0.0391,-0.0017,0.0000,0.0000,0.0000,-8.98,-0.2041,6.67,0.4764,0.4447
La'Mical Perine,RB,2,-2.34,-1.1701,-0.0867,-0.0015,0.0000,0.0000,0.0000,-2.04,-0.0926,-0.30,-0.1008,-0.0605
Marquise Brown,WR,13,-2.57,-0.1978,-0.0250,-0.0019,0.0000,0.0000,0.0000,0.86,0.4307,-3.43,-0.0673,-0.0340
Rico Dowdle,RB,17,-2.60,-0.1531,-0.0224,-0.0017,0.0000,0.0000,0.0000,-8.63,-0.0948,6.02,0.3171,0.2410
D'Onta Foreman,RB,9,-2.61,-0.2896,-0.0209,-0.0019,0.0000,0.0000,0.0000,-3.95,-0.0362,1.34,0.1222,0.0840
Zay Jones,WR,9,-2.85,-0.3166,-0.0445,-0.0020,0.0000,0.0000,0.0000,0.00,0.0000,-2.85,-0.0838,-0.0445
Kayshon Boutte,WR,3,-2.85,-0.9509,-0.4075,-0.0022,0.0000,0.0000,0.0000,0.00,0.0000,-2.85,-1.4263,-0.4075
Lynn Bowden,WR,8,-2.86,-0.3574,-0.1362,-0.0020,0.0000,0.0000,0.0000,-0.68,-0.1358,-2.18,-0.1982,-0.1363
Keelan Doss,WR,2,-2.93,-1.4642,-0.2253,-0.0021,0.0000,0.0000,0.0000,0.00,0.0000,-2.93,-0.4881,-0.2253
Justice Hill,RB,18,-2.93,-0.1627,-0.0198,-0.0019,0.0000,0.0000,0.0000,-1.08,-0.0108,-1.85,-0.0545,-0.0386
Elijah Dotson,RB,1,-2.97,-2.9710,-0.4952,-0.0021,0.0000,0.0000,0.0000,-3.13,-0.7836,0.16,0.0817,0.0817
Gus Edwards,RB,19,-2.98,-0.1570,-0.0131,-0.0019,0.0000,0.0000,0.0000,-12.15,-0.0576,9.17,0.6548,0.5730
Israel Abanikanda,RB,6,-2.99,-0.4983,-0.0906,-0.0022,0.0000,0.0000,0.0000,-2.55,-0.1159,-0.44,-0.0628,-0.0399
Brian Robinson,RB,15,-3.11,-0.2071,-0.0141,-0.0023,0.0000,0.0000,0.0000,-23.36,-0.1312,20.25,0.5625,0.4710
D'Ernest Johnson,RB,15,-3.19,-0.2127,-0.0602,-0.0022,0.0000,0.0000,0.0000,-13.27,-0.3237,10.08,1.0080,0.8400
Trent Sherfield,WR,10,-3.24,-0.3238,-0.1295,-0.0021,0.0000,0.0000,0.0000,0.00,0.0000,-3.24,-0.2699,-0.1295
Austin Trammell,WR,2,-3.26,-1.6280,-0.4651,-0.0022,0.0000,0.0000,0.0000,0.00,0.0000,-3.26,-0.8140,-0.4651
Darrynton Evans,RB,6,-3.28,-0.5459,-0.0744,-0.0012,0.0000,0.0000,0.0000,1.71,0.0536,-4.99,-0.7127,-0.4158
Rondale Moore,WR,17,-3.31,-0.1947,-0.0368,-0.0024,0.0000,0.0000,0.0000,0.74,0.0264,-4.05,-0.1012,-0.0653
Chris Rodriguez,RB,8,-3.34,-0.4172,-0.0630,-0.0024,0.0000,0.0000,0.0000,-3.91,-0.0766,0.57,0.2852,0.2852
Tyrion Davis-Price,RB,1,-3.37,-3.3736,-0.5623,-0.0023,0.0000,0.0000,0.0000,-3.37,-0.5623,0.00,0.0000,0.0000
Samori Toure,WR,8,-3.39,-0.4233,-0.1882,-0.0023,0.0000,0.0000,0.0000,0.00,0.0000,-3.39,-0.4233,-0.1882
Trey Sermon,RB,8,-3.41,-0.4260,-0.0831,-0.0024,0.0000,0.0000,0.0000,-0.67,-0.0192,-2.74,-0.9120,-0.4560
Rashaad Penny,RB,3,-3.47,-1.1558,-0.2889,-0.0023,0.0000,0.0000,0.0000,-3.38,-0.3069,-0.09,-0.0916,-0.0916
C.J. Uzomah,TE,7,-3.52,-0.5023,-0.2930,-0.0025,0.0000,0.0000,0.0000,0.00,0.0000,-3.52,-0.4395,-0.2930
Derek Carr,QB,17,-3.53,-0.2079,-0.0061,-0.0025,16.2992,0.0435,0.0297,-19.83,-0.6198,0.00,0.0000,0.0000
John Metchie,WR,15,-3.57,-0.2380,-0.1020,-0.0023,0.0000,0.0000,0.0000,0.49,0.2471,-4.06,-0.2139,-0.1232
Julian Hill,TE,6,-3.61,-0.6018,-0.4012,-0.0025,0.0000,0.0000,0.0000,0.00,0.0000,-3.61,-0.6018,-0.4012
Gardner Minshew,QB,16,-3.78,-0.2363,-0.0072,-0.0027,-1.4526,-0.0048,-0.0030,-2.33,-0.0685,0.00,0.0000,0.0000
Donovan Peoples-Jones,WR,12,-3.78,-0.3153,-0.1513,-0.0012,0.0000,0.0000,0.0000,0.00,0.0000,-3.78,-0.2910,-0.1513
Tony Jones,RB,6,-3.83,-0.6390,-0.1065,-0.0014,0.0000,0.0000,0.0000,0.59,0.0227,-4.42,-0.6321,-0.4425
Tyjae Spears,RB,17,-3.84,-0.2259,-0.0226,-0.0029,0.0000,0.0000,0.0000,-2.31,-0.0231,-1.53,-0.0294,-0.0219
Quez Watkins,WR,6,-4.02,-0.6700,-0.1608,-0.0027,0.0000,0.0000,0.0000,0.00,0.0000,-4.02,-0.2233,-0.1608
Allen Robinson,WR,16,-4.03,-0.2522,-0.0776,-0.0029,0.0000,0.0000,0.0000,0.00,0.0000,-4.03,-0.1121,-0.0776
Harrison Bryant,TE,14,-4.08,-0.2916,-0.1317,-0.0026,0.0000,0.0000,0.0000,2.27,0.4537,-6.35,-0.3736,-0.2443
Christopher Brooks,RB,3,-4.21,-1.4029,-0.2215,-0.0030,0.0000,0.0000,0.0000,-4.21,-0.2215,0.00,0.0000,0.0000
Luke Schoonmaker,TE,12,-4.34,-0.3618,-0.2714,-0.0028,0.0000,0.0000,0.0000,0.00,0.0000,-4.34,-0.4825,-0.2714
Hayden Hurst,TE,9,-4.37,-0.4861,-0.1367,-0.0031,0.0000,0.0000,0.0000,0.00,0.0000,-4.37,-0.2430,-0.1367
Melvin Gordon,RB,4,-4.39,-1.0964,-0.1512,-0.0028,0.0000,0.0000,0.0000,-7.58,-0.2917,3.20,1.0662,1.0662
Jason Brownlee,WR,4,-4.48,-1.1195,-0.5597,-0.0032,0.0000,0.0000,0.0000,0.00,0.0000,-4.48,-0.8956,-0.5597
Ronnie Rivers,RB,8,-4.52,-0.5655,-0.1052,-0.0031,0.0000,0.0000,0.0000,-5.91,-0.1688,1.38,0.1728,0.1728
Devin Duvernay,WR,6,-4.63,-0.7718,-0.3562,-0.0030,0.0000,0.0000,0.0000,-0.70,-0.1762,-3.93,-0.9814,-0.4362
Deven Thompkins,WR,14,-4.66,-0.3330,-0.1295,-0.0031,0.0000,0.0000,0.0000,4.81,0.5341,-9.47,-0.5261,-0.3507
Marvin Jones,WR,4,-4.77,-1.1917,-0.4767,-0.0029,0.0000,0.0000,0.0000,0.00,0.0000,-4.77,-0.9534,-0.4767
AJ McCarron,QB,2,-4.83,-2.4148,-0.9659,-0.0036,-4.8295,-1.2074,-0.9659,0.00,0.0000,0.00,0.0000,0.0000
Kenyan Drake,RB,2,-4.85,-2.4259,-0.9704,-0.0016,0.0000,0.0000,0.0000,-0.93,-0.4629,-3.93,-1.9630,-1.3087
Demario Douglas,WR,14,-4.88,-0.3488,-0.0561,-0.0037,0.0000,0.0000,0.0000,0.90,0.1125,-5.78,-0.1180,-0.0732
Darnell Mooney,WR,14,-5.08,-0.3632,-0.0807,-0.0037,0.0000,0.0000,0.0000,-0.70,-0.3480,-4.39,-0.1416,-0.0719
Xavier Hutchinson,WR,13,-5.13,-0.3947,-0.1833,-0.0034,0.0000,0.0000,0.0000,2.83,0.5668,-7.97,-0.6638,-0.3463
Zach Evans,RB,4,-5.50,-1.3745,-0.6109,-0.0037,0.0000,0.0000,0.0000,-5.50,-0.6109,0.00,0.0000,0.0000
Tyrod Taylor,QB,10,-5.55,-0.5551,-0.0255,-0.0041,-3.8383,-0.0331,-0.0213,-1.71,-0.0451,0.00,0.0000,0.0000
Sean Tucker,RB,3,-5.64,-1.8788,-0.3315,-0.0037,0.0000,0.0000,0.0000,-5.48,-0.3656,-0.15,-0.0759,-0.0759
John Bates,TE,14,-5.66,-0.4040,-0.2020,-0.0041,0.0000,0.0000,0.0000,0.00,0.0000,-5.66,-0.2977,-0.2020
Connor Heyward,TE,12,-5.73,-0.4777,-0.1549,-0.0041,-0.2909,0.0000,-0.2909,-1.82,-1.8168,-3.62,-0.1510,-0.1036
Juwan Johnson,TE,13,-5.84,-0.4493,-0.0990,-0.0041,0.0000,0.0000,0.0000,0.00,0.0000,-5.84,-0.1579,-0.0990
Malik Willis,QB,2,-6.16,-3.0822,-0.6164,-0.0046,0.5879,0.1470,0.1176,-6.75,-1.3504,0.00,0.0000,0.0000
Logan Thomas,TE,16,-6.21,-0.3883,-0.0786,-0.0045,0.0000,0.0000,0.0000,0.42,0.4203,-6.63,-0.1206,-0.0850
Antonio Gibson,RB,16,-6.21,-0.3884,-0.0501,-0.0045,0.0000,0.0000,0.0000,-6.42,-0.0988,0.21,0.0043,0.0035
Raheem Blackshear,RB,8,-6.27,-0.7835,-0.2985,-0.0044,0.0000,0.0000,0.0000,-4.25,-0.3036,-2.02,-0.3363,-0.2883
Cam Akers,RB,7,-6.34,-0.9063,-0.0881,-0.0022,-1.5188,0.0000,0.0000,-6.19,-0.1032,1.36,0.1241,0.1137
D.J. Montgomery,WR,2,-6.87,-3.4363,-0.8591,-0.0048,0.0000,0.0000,0.0000,0.00,0.0000,-6.87,-2.2908,-0.8591
James Proche,WR,2,-7.25,-3.6274,-1.4510,-0.0046,0.0000,0.0000,0.0000,0.00,0.0000,-7.25,0.0000,-1.4510
Tyler Goodson,RB,6,-7.73,-1.2881,-0.3513,-0.0054,0.0000,0.0000,0.0000,-2.43,-0.1872,-5.30,-0.8826,-0.5884
Ian Thomas,TE,7,-7.79,-1.1122,-0.8650,-0.0055,0.0000,0.0000,0.0000,0.00,0.0000,-7.79,-1.5571,-0.8650
Royce Freeman,RB,9,-7.82,-0.8694,-0.0990,-0.0053,0.0000,0.0000,0.0000,-7.59,-0.0986,-0.24,-0.2356,-0.1178
Marquise Goodwin,WR,11,-7.90,-0.7184,-0.4390,-0.0050,0.0000,0.0000,0.0000,1.36,0.3394,-9.26,-2.3149,-0.6614
Terrace Marshall,WR,8,-7.96,-0.9956,-0.2414,-0.0056,0.0000,0.0000,0.0000,0.00,0.0000,-7.96,-0.4192,-0.2414
Sam Darnold,QB,10,-8.04,-0.8039,-0.1200,-0.0055,0.8387,0.0300,0.0182,-8.88,-0.4227,0.00,0.0000,0.0000
Kyle Allen,QB,6,-8.10,-1.3497,-0.6229,-0.0052,0.0000,0.0000,0.0000,-8.10,-0.6229,0.00,0.0000,0.0000
Chase Edmonds,RB,15,-8.15,-0.5435,-0.1007,-0.0054,0.0000,0.0000,0.0000,-10.61,-0.1768,2.45,0.1444,0.1169
DeeJay Dallas,RB,10,-8.23,-0.8229,-0.4331,-0.0063,-0.5179,0.0000,0.0000,-0.01,-0.0013,-7.70,-1.2829,-0.8553
Kendrick Bourne,WR,8,-8.26,-1.0331,-0.1476,-0.0063,0.0000,0.0000,0.0000,0.69,0.6893,-8.95,-0.2420,-0.1628
D'Andre Swift,RB,17,-8.39,-0.4938,-0.0287,-0.0057,0.0000,0.0000,0.0000,-0.12,-0.0005,-8.27,-0.1924,-0.1561
Ty Montgomery,WR,7,-8.59,-1.2271,-0.5726,-0.0065,0.0000,0.0000,0.0000,-0.41,-0.1356,-8.18,-1.6366,-0.6819
Skyy Moore,WR,13,-8.90,-0.6850,-0.2172,-0.0055,0.0000,0.0000,0.0000,1.11,0.3709,-10.02,-0.4770,-0.2636
David Njoku,TE,17,-8.92,-0.5246,-0.0666,-0.0056,0.0000,0.0000,0.0000,0.00,0.0000,-8.92,-0.1013,-0.0666
Dawson Knox,TE,12,-9.24,-0.7701,-0.2370,-0.0059,0.0000,0.0000,0.0000,0.00,0.0000,-9.24,-0.3850,-0.2370
Patrick Taylor,RB,11,-9.40,-0.8546,-0.1808,-0.0063,0.0000,0.0000,0.0000,-4.44,-0.1268,-4.96,-0.4513,-0.2920
Logan Woodside,QB,1,-9.42,-9.4178,-1.8836,-0.0068,-9.7209,-3.2403,-2.4302,0.30,0.3031,0.00,0.0000,0.0000
Trayveon Williams,RB,14,-9.58,-0.6843,-0.3991,-0.0071,0.0000,0.0000,0.0000,-2.04,-0.1362,-7.54,-1.0767,-0.8375
Kyler Murray,QB,8,-9.70,-1.2129,-0.0311,-0.0070,-17.7393,-0.1008,-0.0662,8.04,0.1826,0.00,0.0000,0.0000
Tyquan Thornton,WR,9,-10.10,-1.1224,-0.3885,-0.0077,0.0000,0.0000,0.0000,2.93,0.9758,-13.03,-1.0022,-0.5665
Tyler Scott,WR,13,-10.16,-0.7813,-0.2604,-0.0073,0.0000,0.0000,0.0000,0.20,0.0292,-10.36,-0.6095,-0.3238
Jalen Reagor,WR,9,-10.42,-1.1575,-0.4341,-0.0079,0.0000,0.0000,0.0000,1.26,1.2620,-11.68,-1.6685,-0.5078
Keaontay Ingram,RB,7,-10.57,-1.5106,-0.2711,-0.0076,0.0000,0.0000,0.0000,-11.03,-0.3153,0.46,0.1151,0.1151
Salvon Ahmed,RB,7,-10.63,-1.5186,-0.2362,-0.0075,0.0000,0.0000,0.0000,-0.15,-0.0069,-10.48,-0.6549,-0.4556
Jahmyr Gibbs,RB,18,-10.70,-0.5944,-0.0361,-0.0064,0.0000,0.0000,0.0000,-0.93,-0.0044,-9.77,-0.1550,-0.1149
Clyde Edwards-Helaire,RB,18,-10.85,-0.6029,-0.1024,-0.0068,0.0000,0.0000,0.0000,-14.38,-0.1798,3.53,0.1682,0.1359
JuJu Smith-Schuster,WR,11,-10.87,-0.9880,-0.2312,-0.0083,0.0000,0.0000,0.0000,0.00,0.0000,-10.87,-0.3748,-0.2312
Garrett Wilson,WR,17,-10.89,-0.6404,-0.0629,-0.0078,-0.3739,0.0000,-0.3739,0.36,0.0891,-10.87,-0.1144,-0.0647
Brian Hoyer,QB,2,-10.90,-5.4516,-0.2423,-0.0084,-9.4659,-0.4116,-0.2254,-1.44,-0.4791,0.00,0.0000,0.0000
Deuce Vaughn,RB,6,-11.09,-1.8491,-0.3698,-0.0073,0.0000,0.0000,0.0000,-12.07,-0.5248,0.98,0.1393,0.1393
Cooper Rush,QB,7,-11.11,-1.5867,-0.3085,-0.0073,-5.3010,-0.2945,-0.2209,-5.81,-0.4838,0.00,0.0000,0.0000
Ameer Abdullah,RB,16,-11.51,-0.7194,-0.2951,-0.0089,0.0000,0.0000,0.0000,2.50,0.1663,-14.01,-0.7371,-0.5836
Tyson Bagent,QB,5,-11.53,-2.3052,-0.0694,-0.0083,-22.1761,-0.2359,-0.1551,10.65,0.4630,0.00,0.0000,0.0000
Jeff Driskel,QB,1,-11.54,-11.5398,-0.3497,-0.0073,-11.6219,-0.8940,-0.4470,0.08,0.0117,0.00,0.0000,0.0000
Kenneth Gainwell,RB,17,-11.55,-0.6796,-0.0903,-0.0078,1.1421,1.1421,1.1421,-13.65,-0.1551,0.95,0.0298,0.0244
Sterling Shepard,WR,10,-11.72,-1.1725,-0.5098,-0.0086,0.0000,0.0000,0.0000,0.39,0.3945,-12.12,-1.2119,-0.5509
Eric Gray,RB,5,-11.75,-2.3503,-0.4896,-0.0086,0.0000,0.0000,0.0000,-8.24,-0.4849,-3.51,-0.5847,-0.5011
Elijah Moore,WR,17,-11.91,-0.7004,-0.1035,-0.0075,0.0000,0.0000,0.0000,-10.32,-1.1465,-1.59,-0.0260,-0.0150
Zack Moss,RB,14,-12.04,-0.8599,-0.0547,-0.0085,0.0000,0.0000,0.0000,-13.04,-0.0713,1.00,0.0372,0.0271
Kenneth Walker,RB,15,-12.26,-0.8174,-0.0479,-0.0093,0.0000,0.0000,0.0000,-15.30,-0.0698,3.03,0.1046,0.0820
Blake Bell,TE,6,-12.37,-2.0614,-1.3743,-0.0077,0.0000,0.0000,0.0000,0.00,0.0000,-12.37,-2.4737,-1.3743
Roschon Johnson,RB,15,-12.37,-0.8247,-0.1022,-0.0089,0.0000,0.0000,0.0000,-6.53,-0.0806,-5.84,-0.1718,-0.1461
Breece Hall,RB,17,-12.40,-0.7297,-0.0390,-0.0089,0.0000,0.0000,0.0000,-16.98,-0.0761,4.57,0.0602,0.0481
Chase Claypool,WR,7,-12.50,-1.7858,-0.5953,-0.0044,0.0000,0.0000,0.0000,0.00,0.0000,-12.50,-1.5626,-0.5953
Isiah Pacheco,RB,17,-12.56,-0.7386,-0.0389,-0.0078,0.0000,0.0000,0.0000,-14.40,-0.0537,1.85,0.0369,0.0336
Darrell Henderson,RB,4,-12.63,-3.1577,-0.2105,-0.0086,0.0000,0.0000,0.0000,-11.57,-0.2516,-1.06,-0.1057,-0.0755
